0,1
Strategy,Human in the loop: Have defined processes to determine how and when model outputs need human validation to ensure accuracy
Technology,Technology infrastructure: Technology infrastructure and architecture allow implementation of core AI initiatives using the latest technologies
Strategy,"Clearly defined AI road map: Have defined a road map with specific AI initiatives and use cases across priority business domains, aligned with our broader AI strategy"
Strategy,Leadership alignment on value creation: Top leaders understand how AI can create value for the business
Adoption and scaling,"Rewiring business processes: Embeds AI solutions into business processes effectively (eg, changing frontline employees' processes, creating user interfaces)"
Adoption and scaling,"Senior leadership engagement: Senior leaders are actively engaged in driving AI adoption, including role modeling the use of AI"
Operating model,Product delivery: Have an agile product delivery organization or an enterprise-wide agile organization with well-defined agile team delivery processes
Talent,Strategic workforce planning: Have developed a clear workforce plan (for technolo- gy and nontechnology roles) that incorporates the anticipated changes from AI
Data,"Iterative solution development: Have an established process for building AI solutions and iteratively improving them (eg, guardrails, approach to development)"
Operating model,"Rapid development cycles: AI efforts progress quickly and are adaptive (ie, characterized by quick decision-making and iterative learning)"
